2021-06-05 20:02:03 start train.
2021-06-07 00:16:18 EPOCH 91 ,g_loss:439.2862243652344 d_loss:-0.9380256533622742 p_loss:0.007762902416288853 gp_loss:0.071686290204525 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 00:34:38 EPOCH 92 ,g_loss:471.2834777832031 d_loss:-0.9357345700263977 p_loss:0.0076303319074213505 gp_loss:0.07142730802297592 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 00:52:57 EPOCH 93 ,g_loss:470.3544006347656 d_loss:-0.9335150122642517 p_loss:0.007568708620965481 gp_loss:0.07067307829856873 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 01:11:17 EPOCH 94 ,g_loss:488.8997802734375 d_loss:-0.9192442297935486 p_loss:0.007543460000306368 gp_loss:0.067899689078331 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 01:29:36 EPOCH 95 ,g_loss:473.55133056640625 d_loss:-0.9481841325759888 p_loss:0.00752693135291338 gp_loss:0.07122165709733963 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 01:48:12 EPOCH 96 ,g_loss:454.7640380859375 d_loss:-0.9122024178504944 p_loss:0.007515557110309601 gp_loss:0.06734662503004074 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 02:06:32 EPOCH 97 ,g_loss:454.1194763183594 d_loss:-0.901125967502594 p_loss:0.007434303872287273 gp_loss:0.06475710868835449 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 02:24:51 EPOCH 98 ,g_loss:433.94635009765625 d_loss:-0.9104292988777161 p_loss:0.007682750467211008 gp_loss:0.0647752583026886 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 02:43:10 EPOCH 99 ,g_loss:408.5209655761719 d_loss:-0.9188339710235596 p_loss:0.0075875623151659966 gp_loss:0.06609919667243958 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 03:01:29 EPOCH 100 ,g_loss:462.85614013671875 d_loss:-0.8973102569580078 p_loss:0.0076767681166529655 gp_loss:0.055945709347724915 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 03:20:06 EPOCH 101 ,g_loss:532.0333862304688 d_loss:-0.9213685393333435 p_loss:0.007862968370318413 gp_loss:0.05896400660276413 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
